"RAIND_APG43_5_S41_A2024","1159.88"
"MEIND_APG43_5_S07_A2024","1154.59"
"RAIND_APG43_5_S51_A2024","1154.02"
"MEIND_APG43_5_S04_A2025","1153.50"
"RAIND_APG43_5_S46_A2024","1152.31"
"RAIND_APG43_5_S49_A2024","1149.09"
"MEIND_APG43_5_S23_A2024","1149.05"
"RAIND_APG43_5_S43_A2024","1148.96"
"MEIND_APG43_5_S47_A2024","1148.39"
"MEIND_APG43_5_S48_A2024","1148.32"
"MEIND_APG43_5_S18_A2024","1146.63"
"MEIND_APG43_5_S06_A2025","1145.97"
"MEIND_APG43_5_S37_A2024","1144.40"
"RAIND_APG43_5_S40_A2024","1141.92"
"MEIND_APG43_5_S21_A2024","1141.04"
"MEIND_APG43_5_S22_A2024","1140.28"
"MEIND_APG43_5_S02_A2025","1139.51"
"MEIND_APG43_5_S05_A2025","1138.84"
"RAIND_APG43_5_S10_A2024","1137.14"
"MEIND_APG43_5_S08_A2025","1134.45"
"RAIND_APG43_5_S02_A2025","1132.62"
"RAIND_APG43_5_S03_A2024","1130.06"
"RAIND_APG43_5_S06_A2024","1127.54"
"RAIND_APG43_5_S08_A2025","1126.68"
"MEIND_APG43_5_S24_A2024","1126.25"
"RAIND_APG43_5_S01_A2025","1125.48"
"MEIND_APG43_5_S46_A2024","1125.01"
"RAIND_APG43_5_S03_A2025","1124.81"
"MEIND_APG43_5_S19_A2024","1123.03"
"MEIND_APG43_5_S42_A2024","1117.41"
"MEIND_APG43_5_S20_A2024","1116.72"
"MEIND_APG43_5_S40_A2024","1116.67"
"RAIND_APG43_5_S45_A2024","1116.11"
"RAIND_APG43_5_S07_A2025","1115.81"
"MEIND_APG43_5_S16_A2024","1115.33"
"RAIND_APG43_5_S52_A2024","1114.70"
"MEIND_APG43_5_S41_A2024","1112.22"
"RAIND_APG43_5_S44_A2024","1111.67"
"RAIND_APG43_5_S25_A2023","1102.40"
"MEIND_APG43_5_S43_A2024","1095.33"
"MEIND_APG43_5_S52_A2023","1089.36"
"MEIND_APG43_5_S17_A2024","1088.25"
"RAIND_APG43_5_S05_A2024","1086.77"
"RAIND_APG43_5_S04_A2024","1086.56"
"RAIND_APG43_5_S16_A2024","1085.32"
"RAIND_APG43_5_S07_A2024","1081.15"
"MEIND_APG43_5_S44_A2024","1080.05"
"RAIND_APG43_5_S17_A2024","1079.72"
"CALIS_APG43_5_S22_A2020","1079.61"
"RAIND_APG43_5_S22_A2020","1074.86"
"MEIND_APG43_5_S45_A2024","1073.41"
"MEIND_APG43_5_S06_A2024","1058.17"
"MEIND_APG43_5_S03_A2024","1058.07"
"RAIND_APG43_5_S08_A2024","1052.30"
"MEIND_APG43_5_S05_A2024","1039.28"
"MEIND_APG43_5_S04_A2024","1029.59"
"MEIND_APG43_5_S25_A2023","1028.17"
"MEIND_APG43_5_S51_A2024","1006.69"
"MEIND_APG43_5_S52_A2024","1002.53"
"CALIS_APG43_5_S15_A2019","993.86"
"RAIND_APG43_5_S15_A2019","987.91"
"CALIS_APG43_5_S02_A2024","981.55"
"MEIND_APG43_5_S22_A2020","971.96"
"MEIND_APG43_5_S01_A2025","957.08"
"RAIND_APG43_5_S34_A2017","952.19"
"RAIND_APG43_5_S33_A2017","949.16"
"RAIND_APG43_5_S32_A2017","947.99"
"RAIND_APG43_5_S02_A2024","946.49"
"RAIND_APG43_5_S23_A2017","938.96"
"CALIS_APG43_5_S34_A2017","926.71"
"CALIS_APG43_5_S33_A2017","924.25"
"CALIS_APG43_5_S32_A2017","922.86"
"CALIS_APG43_5_S01_A2024","916.96"
"CALIS_APG43_5_S23_A2017","910.55"
"RAIND_APG43_5_S52_A2023","909.57"
"MEIND_APG43_5_S36_A2019","893.11"
"MEIND_APG43_5_S15_A2019","885.74"
"CALIS_APG43_5_S52_A2023","877.79"
"RAIND_APG43_5_S01_A2024","848.61"
"MEIND_APG43_5_S34_A2017","826.25"
"MEIND_APG43_5_S33_A2017","823.21"
"MEIND_APG43_5_S32_A2017","821.90"
"MEIND_APG43_5_S02_A2024","821.57"
"MEIND_APG43_5_S23_A2017","813.59"
"MEIND_APG43_5_S01_A2024","740.82"
"CALIS_APG43_5_S06_A2024","699.87"
"CALIS_APG43_5_S16_A2016","681.05"
"RAIND_APG43_5_S33_A2015","674.56"
"RAIND_APG43_5_S35_A2015","674.20"
"RAIND_APG43_5_S34_A2015","673.60"
"CALIS_APG43_5_S11_A2025","670.32"
"RAIND_APG43_5_S11_A2025","668.21"
"RAIND_APG43_5_S41_A2015","668.16"
"RAIND_APG43_5_S40_A2015","662.59"
"RAIND_APG43_5_S39_A2015","658.07"
"RAIND_APG43_5_S06_A2025","639.63"
"CALIS_APG43_5_S33_A2015","638.23"
"CALIS_APG43_5_S34_A2015","635.81"
"CALIS_APG43_5_S35_A2015","635.47"
"RAIND_APG43_5_S37_A2015","633.46"
"RAIND_APG43_5_S36_A2015","629.04"
"CALIS_APG43_5_S41_A2015","626.97"
"CALIS_APG43_5_S40_A2015","622.35"
"CALIS_APG43_5_S39_A2015","621.94"
"MEIND_APG43_5_S11_A2025","621.92"
"RAIND_APG43_5_S38_A2015","613.16"
"CALIS_APG43_5_S37_A2015","596.98"
"CALIS_APG43_5_S36_A2015","593.42"
"MEIND_APG43_5_S16_A2016","584.94"
"CALIS_APG43_5_S38_A2015","584.49"
"MEIND_APG43_5_S33_A2015","546.60"
